Object No;Longitude;Latitude
20618;106.862343;-6.171232
20619;106.861761;-6.190855
20620;106.862335;-6.171173
20621;106.861769;-6.190783
20622;106.866864;-6.158638
20623;106.862336;-6.171145
20624;106.861802;-6.190821
20625;106.867319;-6.158361
20626;106.862383;-6.171145
20627;106.863091;-6.156207
20628;106.861711;-6.190719
20629;106.862415;-6.171144
20630;106.867383;-6.158336
20631;106.861855;-6.19076
20632;106.862455;-6.171114
20633;106.863008;-6.156439
20634;106.862457;-6.171154
20635;106.862504;-6.171098
20636;106.863016;-6.15639
20637;106.866892;-6.159116
20638;106.862538;-6.171108
20639;106.861928;-6.190701
20640;106.86251;-6.171158
20641;106.862974;-6.156081
20642;106.866268;-6.158629
20643;106.862588;-6.171113
20644;106.861877;-6.190783
20645;106.86299;-6.156033
20646;106.862627;-6.171124
20647;106.866759;-6.157971
20648;106.862677;-6.171129
20649;106.861921;-6.190766
20650;106.863071;-6.156009
20651;106.862003;-6.190831
20652;106.86197;-6.190858
20653;106.863094;-6.156487
20654;106.861872;-6.19093
20655;106.86307;-6.156539
20656;106.866712;-6.157847
20657;106.866692;-6.157898
20658;106.86192;-6.190958
20659;106.866964;-6.157735
20660;106.867024;-6.15777
20661;106.863051;-6.156575
20662;106.861863;-6.191043
20663;106.867116;-6.157814
20664;106.861801;-6.191105
20665;106.867168;-6.157849
20666;106.863004;-6.156554
20667;106.86168;-6.191077
20668;106.867218;-6.157874
20669;106.862969;-6.15664
20670;106.867277;-6.157899
20671;106.862927;-6.156771
20672;106.867357;-6.157941
20673;106.861707;-6.191263
20674;106.867446;-6.15799
20675;106.862888;-6.156758
20676;106.861613;-6.191443
20677;106.867501;-6.158015
20678;106.862859;-6.156742
20679;106.867514;-6.158254
20680;106.86284;-6.156317
20681;106.867587;-6.158284
20682;106.861758;-6.191503
20683;106.862344;-6.171328
20684;106.862797;-6.156395
20685;106.861624;-6.191567
20686;106.862298;-6.171418
20687;106.867399;-6.158402
20688;106.86277;-6.156427
20689;106.861757;-6.191579
20690;106.867484;-6.158368
20691;106.862333;-6.171429
20692;106.867526;-6.158389
20693;106.862804;-6.156697
20694;106.861694;-6.191707
20695;106.867578;-6.158412
20696;106.862375;-6.171437
20697;106.867534;-6.158516
20698;106.862396;-6.171338
20699;106.862757;-6.156673
20700;106.867467;-6.158548
20701;106.862394;-6.171232
20702;106.861333;-6.192101
20703;106.86745;-6.158581
20704;106.86239;-6.1712
20705;106.862729;-6.156654
20706;106.867433;-6.158626
20707;106.862395;-6.171269
20708;106.867411;-6.158525
20709;106.86247;-6.171281
20710;106.861459;-6.192022
20711;106.867391;-6.158565
20712;106.862488;-6.171224
20713;106.862888;-6.156595
20714;106.867364;-6.15863
20715;106.861558;-6.192056
20716;106.862691;-6.156546
20717;106.862536;-6.171301
20718;106.861816;-6.19203
20719;106.862636;-6.171261
20720;106.861601;-6.191927
20721;106.862648;-6.17121
20722;106.863542;-6.155801
20723;106.861872;-6.191915
20724;106.8617;-6.191751
20725;106.863519;-6.155845
20726;106.861696;-6.191831
20727;106.862618;-6.171321
20728;106.867342;-6.158705
20729;106.863496;-6.155929
20730;106.861696;-6.191833
20731;106.867505;-6.158656
20732;106.862663;-6.171337
20733;106.867306;-6.158753
20734;106.867278;-6.158804
20735;106.862583;-6.171312
